epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2308.04,0.46644,0.99641,0.12755,0.37055,0.94109,0.95011,0.9704,0.98452,0.91912,0.96039,0.95759,0.98004,0.89861,0.37668,0.47721,0.07284,0.28462,0.88851,0.00021471,0.00021471,0.00021471
90,2334.49,0.46985,1.01011,0.12625,0.37379,0.94227,0.94931,0.9727,0.98391,0.91933,0.97474,0.94626,0.97938,0.90844,0.37213,0.4623,0.07453,0.28646,0.88755,0.000198206,0.000198206,0.000198206
91,2365.26,0.3901,0.66671,0.09503,0.30473,0.91468,0.96066,0.97369,0.98533,0.91982,0.95928,0.9721,0.98393,0.90846,0.37521,0.46524,0.07171,0.28483,0.88773,0.000181703,0.000181703,0.000181703
92,2390.71,0.37863,0.64078,0.09033,0.29763,0.9083,0.95859,0.96839,0.98479,0.92136,0.95816,0.96717,0.98111,0.91082,0.36706,0.45266,0.07068,0.28369,0.88351,0.0001652,0.0001652,0.0001652
93,2415.91,0.36946,0.61053,0.08768,0.28903,0.89716,0.96967,0.96959,0.98624,0.92346,0.97148,0.96891,0.9849,0.91513,0.36826,0.44868,0.06986,0.28047,0.88486,0.000148696,0.000148696,0.000148696
94,2440.96,0.3656,0.60787,0.08573,0.28628,0.89508,0.96911,0.97249,0.98676,0.92371,0.96922,0.9677,0.98501,0.9174,0.36497,0.437,0.06876,0.27332,0.88095,0.000132193,0.000132193,0.000132193
95,2465.92,0.3646,0.57724,0.08573,0.28392,0.89434,0.97109,0.96865,0.98628,0.92241,0.97061,0.96814,0.98482,0.92042,0.36439,0.42952,0.06888,0.27329,0.88314,0.00011569,0.00011569,0.00011569
96,2490.74,0.36283,0.57709,0.08402,0.28274,0.8946,0.96275,0.9704,0.98636,0.9221,0.9703,0.96707,0.98604,0.91922,0.36349,0.4301,0.069,0.27318,0.88435,9.91865e-05,9.91865e-05,9.91865e-05
97,2515.16,0.36319,0.57919,0.08419,0.28414,0.90199,0.96059,0.97101,0.98653,0.92366,0.96108,0.97088,0.98512,0.91895,0.36002,0.42536,0.06794,0.27067,0.88077,8.26832e-05,8.26832e-05,8.26832e-05
98,2540.76,0.35632,0.54979,0.08099,0.278,0.89293,0.97131,0.97228,0.98654,0.92557,0.97635,0.96964,0.98617,0.92364,0.35835,0.4188,0.06742,0.27019,0.87956,6.61799e-05,6.61799e-05,6.61799e-05
99,2565.69,0.34926,0.52981,0.08205,0.27523,0.89015,0.96893,0.97374,0.98674,0.92494,0.97175,0.96763,0.98533,0.92431,0.35646,0.41752,0.06733,0.26699,0.88034,4.96766e-05,4.96766e-05,4.96766e-05
100,2591.25,0.35121,0.53053,0.08214,0.27341,0.88934,0.97223,0.97094,0.98681,0.92541,0.97256,0.96989,0.98539,0.92624,0.35333,0.4118,0.067,0.26469,0.87985,3.31733e-05,3.31733e-05,3.31733e-05
